,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,stdev_rep_ism_gsm_corr,scantime
0,1,1,0.116336468,0.116906731,0.004194512,0.004851788,halfmin
0,1,100,0.113606425,0.108364912,0.013003341,0.014023176,halfmin
0,1,200,0.052805898,0.221473213,0.015087837,0.012886943,halfmin
0,1,400,0.036832741,0.19131563,0.018001339,0.019114111,halfmin
0,1,800,0.096266114,0.255395769,0.018230987,0.017060087,halfmin
0,2,100,0.045917551,0.148501412,0.012118709,0.01074282,halfmin
0,2,200,0.06542276,0.205785213,0.014071551,0.011730974,halfmin
0,2,400,0.082932351,0.210329634,0.019055929,0.020471976,halfmin
0,2,800,0.067615517,0.231494218,0.019265627,0.020751906,halfmin
0,3,100,0.02674344,0.207782113,0.010448497,0.007714292,halfmin
0,3,200,0.06923118,0.188444319,0.013081857,0.009327884,halfmin
0,3,400,0.11403817,0.301644104,0.017507002,0.018441842,halfmin
0,3,800,0.098929414,0.227629505,0.018365706,0.017552398,halfmin
0,4,100,0.008845641,0.11828316,0.012488287,0.015282259,halfmin
0,4,200,0.103932857,0.221967522,0.013031155,0.009728453,halfmin
0,4,400,0.120524592,0.208955859,0.017161606,0.016223108,halfmin
0,4,800,0.084334189,0.24150245,0.018887357,0.020392498,halfmin
0,5,100,0.052831159,0.137552211,0.012552361,0.012671785,halfmin
0,5,200,0.074216158,0.201533395,0.014715397,0.013347163,halfmin
0,5,400,0.142173111,0.245602774,0.01851107,0.019043404,halfmin
0,5,800,0.074975224,0.213975582,0.018312508,0.017664532,halfmin
0,6,100,0.027671253,0.123773803,0.010711417,0.008978561,halfmin
0,6,200,0.039293248,0.190398124,0.01397864,0.011850947,halfmin
0,6,400,0.13702793,0.214864192,0.016250043,0.016037572,halfmin
0,6,800,0.044893889,0.242266038,0.0188231,0.017661534,halfmin
0,7,100,0.095761654,0.096848529,0.013657243,0.01507028,halfmin
0,7,200,0.078537529,0.20107364,0.014540955,0.012827732,halfmin
0,7,400,0.104610563,0.200269031,0.016856044,0.017222582,halfmin
0,7,800,0.077347247,0.23644222,0.019252614,0.020244843,halfmin
0,8,100,0.09985245,0.194110024,0.012679127,0.013323935,halfmin
0,8,200,0.131906678,0.202318027,0.014379944,0.013953594,halfmin
0,8,400,0.070716469,0.243195932,0.017372397,0.015824428,halfmin
0,8,800,0.057098606,0.278648648,0.018268618,0.016581437,halfmin
0,9,100,0.027671253,0.123773803,0.010711417,0.008978561,halfmin
0,9,200,0.079516907,0.279397038,0.01461513,0.014641821,halfmin
0,9,400,0.055259446,0.175972404,0.016041733,0.016816273,halfmin
0,9,800,0.118744395,0.241389645,0.017514864,0.016873781,halfmin
0,10,100,0.16148777,0.187088976,0.014276995,0.017224022,halfmin
0,10,200,0.064306375,0.208360938,0.014024884,0.012288098,halfmin
0,10,400,0.052432761,0.236180803,0.015973662,0.01382584,halfmin
0,10,800,0.114372922,0.251150671,0.018996837,0.018295174,halfmin
0,1,1,0.199035965,0.200412555,0.003889562,0.004110267,onemin
0,1,100,0.314594523,0.294595783,0.012675321,0.010690617,onemin
0,1,200,0.327450527,0.365106383,0.014859103,0.014979061,onemin
