,rerun,bootstrap,subject,ism_repref_dist,ism_repref_corr,scantime
0,1,1,5,0.9909915,0.0090085,halfmin
0,1,1,6,0.999315433,0.000684567,halfmin
0,1,1,0,0.983560843,0.016439157,halfmin
0,1,1,8,0.980898818,0.019101182,halfmin
0,1,1,12,0.99305716,0.00694284,halfmin
0,1,1,16,0.959302059,0.040697941,halfmin
0,1,1,13,0.977394114,0.022605886,halfmin
0,1,1,3,0.950635704,0.049364296,halfmin
0,1,1,10,0.989696844,0.010303156,halfmin
0,1,1,25,0.959679457,0.040320543,halfmin
0,1,1,29,0.957921049,0.042078951,halfmin
0,1,1,20,1.005834795,-0.005834795,halfmin
0,1,1,14,0.992167435,0.007832565,halfmin
0,1,1,11,0.989506488,0.010493512,halfmin
0,1,1,17,0.982480133,0.017519867,halfmin
0,1,1,19,0.983966986,0.016033014,halfmin
0,1,1,1,0.987935373,0.012064627,halfmin
0,1,1,4,0.972785885,0.027214115,halfmin
0,1,1,18,0.9722013,0.0277987,halfmin
0,1,1,15,0.971677624,0.028322376,halfmin
0,1,1,9,0.95465103,0.04534897,halfmin
0,1,1,28,0.98892578,0.01107422,halfmin
0,1,1,2,0.989135107,0.010864893,halfmin
0,1,1,26,0.965407999,0.034592001,halfmin
0,1,1,21,0.992675612,0.007324388,halfmin
0,1,1,22,1.007134832,-0.007134832,halfmin
0,1,1,24,0.981603923,0.018396077,halfmin
0,1,1,23,0.977836516,0.022163484,halfmin
0,1,1,27,0.958950712,0.041049288,halfmin
0,1,1,7,0.988686076,0.011313924,halfmin
0,1,100,5,0.9389508,0.0610492,halfmin
0,1,100,6,0.978639248,0.021360752,halfmin
0,1,100,0,0.91701134,0.08298866,halfmin
0,1,100,8,0.943814382,0.056185618,halfmin
0,1,100,12,0.953332079,0.046667921,halfmin
0,1,100,16,0.914551432,0.085448568,halfmin
0,1,100,13,0.952204916,0.047795084,halfmin
0,1,100,3,0.891895,0.108105,halfmin
0,1,100,10,0.945856931,0.054143069,halfmin
0,1,100,25,0.924937413,0.075062587,halfmin
0,1,100,29,0.890411023,0.109588977,halfmin
0,1,100,20,0.991429785,0.008570215,halfmin
0,1,100,14,0.942658462,0.057341538,halfmin
0,1,100,11,0.908694177,0.091305823,halfmin
0,1,100,17,0.936912044,0.063087956,halfmin
0,1,100,19,0.972395739,0.027604261,halfmin
0,1,100,1,0.969408312,0.030591688,halfmin
0,1,100,4,0.909717649,0.090282351,halfmin
0,1,100,18,0.892354871,0.107645129,halfmin
0,1,100,15,0.877949646,0.122050354,halfmin
0,1,100,9,0.869590258,0.130409742,halfmin
0,1,100,28,0.94825406,0.05174594,halfmin
0,1,100,2,0.948536809,0.051463191,halfmin
0,1,100,26,0.887842301,0.112157699,halfmin
0,1,100,21,0.966563784,0.033436216,halfmin
0,1,100,22,0.980906077,0.019093923,halfmin
0,1,100,24,0.94269109,0.05730891,halfmin
0,1,100,23,0.917269426,0.082730574,halfmin
0,1,100,27,0.899111249,0.100888751,halfmin
0,1,100,7,0.908752066,0.091247934,halfmin
0,1,200,5,0.939246406,0.060753594,halfmin
0,1,200,6,0.979379368,0.020620632,halfmin
0,1,200,0,0.91493644,0.08506356,halfmin
0,1,200,8,0.941197493,0.058802507,halfmin
0,1,200,12,0.953820969,0.046179031,halfmin
0,1,200,16,0.916221138,0.083778862,halfmin
0,1,200,13,0.949701749,0.050298251,halfmin
0,1,200,3,0.892487178,0.107512822,halfmin
0,1,200,10,0.945537275,0.054462725,halfmin
0,1,200,25,0.923281971,0.076718029,halfmin
0,1,200,29,0.890012972,0.109987028,halfmin
0,1,200,20,0.991098093,0.008901907,halfmin
0,1,200,14,0.939173817,0.060826183,halfmin
0,1,200,11,0.910753321,0.089246679,halfmin
0,1,200,17,0.934114508,0.065885492,halfmin
0,1,200,19,0.973128089,0.026871911,halfmin
0,1,200,1,0.967878724,0.032121276,halfmin
0,1,200,4,0.908932895,0.091067105,halfmin
0,1,200,18,0.891633091,0.108366909,halfmin
0,1,200,15,0.873354324,0.126645676,halfmin
0,1,200,9,0.867215411,0.132784589,halfmin
0,1,200,28,0.951161882,0.048838118,halfmin
0,1,200,2,0.94720266,0.05279734,halfmin
0,1,200,26,0.88811818,0.11188182,halfmin
0,1,200,21,0.964082956,0.035917044,halfmin
0,1,200,22,0.981866808,0.018133192,halfmin
0,1,200,24,0.942202458,0.057797542,halfmin
0,1,200,23,0.920135271,0.079864729,halfmin
0,1,200,27,0.901656491,0.098343509,halfmin
0,1,200,7,0.907776924,0.092223076,halfmin
