,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,mean_ref_ism_gsm_corr,stdev_rep_ism_gsm_corr,stdev_ref_ism_gsm_corr
0,1,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,2,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,3,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,4,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,5,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,6,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,7,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,8,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,9,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,10,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,11,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,12,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,13,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,14,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,15,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,16,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,17,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,18,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,19,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,20,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,21,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,22,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,23,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,24,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,25,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,26,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,27,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,28,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,29,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,30,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,1,100,0.752844246,0.880639792,0.008110475,0.006774864,0.003412106,0.003154306
0,2,100,0.784183707,0.871318345,0.008015229,0.006774864,0.002809513,0.003154306
0,3,100,0.774209976,0.856653756,0.007314721,0.006774864,0.003055443,0.003154306
0,4,100,0.624062465,0.881896649,0.007665322,0.006774864,0.002782637,0.003154306
0,5,100,0.57790756,0.837373947,0.008165576,0.006774864,0.00315732,0.003154306
0,6,100,0.786615737,0.877986869,0.00812457,0.006774864,0.002892363,0.003154306
0,7,100,0.81108841,0.888082693,0.007274529,0.006774864,0.002489811,0.003154306
0,8,100,0.559595787,0.868134503,0.007571988,0.006774864,0.002695942,0.003154306
0,9,100,0.576890078,0.865443522,0.007484817,0.006774864,0.002606837,0.003154306
0,10,100,0.739108457,0.860809615,0.007586297,0.006774864,0.002988812,0.003154306
0,11,100,0.766768007,0.883530461,0.007722435,0.006774864,0.003170299,0.003154306
0,12,100,0.748429993,0.885030507,0.007986657,0.006774864,0.002998872,0.003154306
0,13,100,0.742612983,0.860547422,0.008019336,0.006774864,0.003679953,0.003154306
0,14,100,0.742152709,0.883561847,0.007629717,0.006774864,0.002953758,0.003154306
0,15,100,0.774142801,0.867034966,0.007825904,0.006774864,0.00295434,0.003154306
0,16,100,0.780000702,0.888774247,0.007946823,0.006774864,0.002953764,0.003154306
0,17,100,0.763471516,0.882997614,0.00802515,0.006774864,0.003126477,0.003154306
0,18,100,0.761567897,0.857185015,0.007634127,0.006774864,0.003058328,0.003154306
0,19,100,0.793500194,0.877340919,0.007427284,0.006774864,0.002856589,0.003154306
0,20,100,0.726938129,0.877003125,0.007656614,0.006774864,0.00308683,0.003154306
0,21,100,0.610769811,0.831033911,0.007176992,0.006774864,0.002569984,0.003154306
0,22,100,0.63981643,0.880240444,0.007572534,0.006774864,0.002343682,0.003154306
0,23,100,0.786226051,0.885900039,0.007643975,0.006774864,0.002964572,0.003154306
0,24,100,0.771671459,0.878166101,0.007728918,0.006774864,0.00310529,0.003154306
0,25,100,0.769609349,0.881929078,0.007703747,0.006774864,0.002781451,0.003154306
0,26,100,0.7893097,0.889069293,0.007885956,0.006774864,0.002849829,0.003154306
0,27,100,0.770366306,0.877460165,0.007913676,0.006774864,0.002698694,0.003154306
0,28,100,0.777086056,0.866612573,0.007996818,0.006774864,0.003426961,0.003154306
0,29,100,0.762710014,0.849838782,0.007519363,0.006774864,0.003148297,0.003154306
0,30,100,0.778562568,0.849674991,0.008186254,0.006774864,0.003152791,0.003154306
0,1,200,0.799086107,0.909656093,0.008045329,0.006572228,0.003426383,0.003222216
0,2,200,0.828278494,0.925707668,0.008167699,0.006572228,0.003122776,0.003222216
0,3,200,0.761223922,0.919249636,0.007790732,0.006572228,0.00318345,0.003222216
0,4,200,0.802699807,0.912791441,0.008081777,0.006572228,0.003137356,0.003222216
0,5,200,0.798822652,0.90538529,0.008244216,0.006572228,0.002925279,0.003222216
0,6,200,0.78843309,0.920374936,0.007878116,0.006572228,0.00309567,0.003222216
0,7,200,0.809906526,0.922711414,0.007651184,0.006572228,0.003128591,0.003222216
0,8,200,0.835208778,0.930969019,0.007704298,0.006572228,0.002990989,0.003222216
0,9,200,0.781351157,0.912940661,0.00803936,0.006572228,0.003150481,0.003222216
0,10,200,0.784322251,0.898323736,0.007910619,0.006572228,0.002708014,0.003222216
0,11,200,0.79574808,0.915085496,0.008575828,0.006572228,0.00310131,0.003222216
0,12,200,0.820934909,0.930346992,0.007855008,0.006572228,0.003219406,0.003222216
0,13,200,0.815503974,0.922641913,0.007813989,0.006572228,0.003238147,0.003222216
0,14,200,0.807560943,0.925170406,0.007733789,0.006572228,0.003211091,0.003222216
