,rerun,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,1,0,20,0.28459388,0.00622866,0.005363976
0,1,0,19,0.427758,0.004118982,0.009321409
0,1,0,9,0.362154587,0.005132463,0.002734412
0,1,0,14,0.295935366,0.001726107,0.004450292
0,1,0,21,0.175751115,0.004448824,0.004141164
0,1,0,8,0.259652507,0.005273669,0.002366225
0,1,0,4,0.305493641,0.004296246,0.004720861
0,1,0,11,0.383916289,0.003545297,0.000563587
0,1,0,6,0.367005699,0.003263633,0.003944138
0,1,0,7,0.31582294,0.010063021,0.004234955
0,1,0,23,0.283369697,0.002492136,0.00338504
0,1,0,0,0.308196145,0.002562757,2.24E-05
0,1,0,10,0.235539922,0.002130363,0.005162289
0,1,0,16,0.18119813,0.003392968,0.001017675
0,1,0,12,0.20912999,0.001668433,0.001297318
0,1,0,2,0.164669546,0.003065265,-0.000102617
0,1,0,13,0.173287838,0.00124473,0.0013904
0,1,0,5,0.14447056,0.0042511,0.006533629
0,1,0,1,0.455393433,0.002494472,0.004808077
0,1,0,22,0.187876146,0.000138745,0.002492183
0,1,0,15,0.086339629,0.000274137,0.003212797
0,1,0,18,0.280469576,0.001138373,0.005560922
0,1,0,17,0.117626767,0.001911999,0.003710854
0,1,0,3,0.15884566,0.003359539,0.005352372
0,2,0,20,0.28459388,0.00622866,0.005363976
0,2,0,19,0.427758,0.004118982,0.009321409
0,2,0,9,0.362154587,0.005132463,0.002734412
0,2,0,14,0.295935366,0.001726107,0.004450292
0,2,0,21,0.175751115,0.004448824,0.004141164
0,2,0,8,0.259652507,0.005273669,0.002366225
0,2,0,4,0.305493641,0.004296246,0.004720861
0,2,0,11,0.383916289,0.003545297,0.000563587
0,2,0,6,0.367005699,0.003263633,0.003944138
0,2,0,7,0.31582294,0.010063021,0.004234955
0,2,0,23,0.283369697,0.002492136,0.00338504
0,2,0,0,0.308196145,0.002562757,2.24E-05
0,2,0,10,0.235539922,0.002130363,0.005162289
0,2,0,16,0.18119813,0.003392968,0.001017675
0,2,0,12,0.20912999,0.001668433,0.001297318
0,2,0,2,0.164669546,0.003065265,-0.000102617
0,2,0,13,0.173287838,0.00124473,0.0013904
0,2,0,5,0.14447056,0.0042511,0.006533629
0,2,0,1,0.455393433,0.002494472,0.004808077
0,2,0,22,0.187876146,0.000138745,0.002492183
0,2,0,15,0.086339629,0.000274137,0.003212797
0,2,0,18,0.280469576,0.001138373,0.005560922
0,2,0,17,0.117626767,0.001911999,0.003710854
0,2,0,3,0.15884566,0.003359539,0.005352372
0,3,0,20,,,0.005363976
0,3,0,19,,,0.009321409
0,3,0,9,,,0.002734412
0,3,0,14,,,0.004450292
0,3,0,21,,,0.004141164
0,3,0,8,,,0.002366225
0,3,0,4,,,0.004720861
0,3,0,11,,,0.000563587
0,3,0,6,,,0.003944138
