,rerun1,rerun2,bootstrap,KMeans_Spectral_GSMCorr,Ward_KMeans_GSMCorr,Spectral_Ward_GSMCorr,KMeans_Spectral_RandIdx,Ward_KMeans_RandIdx,Spectral_Ward_RandIdx
0,1,1,200,0.447717238,0.628085695,0.33608952,0.289005231,0.49785103,0.223368298
0,1,2,200,0.460188958,0.613112683,0.320425846,0.291587765,0.477801633,0.213999916
0,1,3,200,0.479027421,0.648163781,0.332438188,0.31138704,0.506185295,0.229860096
0,1,4,200,0.465986251,0.60966736,0.331821413,0.294491492,0.475849377,0.207905571
0,1,5,200,0.470779913,0.626338233,0.341913453,0.300856479,0.464864518,0.2311248
0,1,6,200,0.472852096,0.623917149,0.323646724,0.313163534,0.450481996,0.208343808
0,1,7,200,0.46074985,0.635401718,0.292532917,0.29646324,0.488119623,0.209317223
0,1,8,200,0.461863664,0.598282719,0.302554726,0.297745735,0.475752546,0.209604093
0,1,9,200,0.459453754,0.624989185,0.341761583,0.300580387,0.472237627,0.201457184
0,1,10,200,0.45456605,0.597037875,0.347444997,0.293980642,0.467637598,0.210062961
0,1,11,200,0.497185628,0.639079024,0.336322666,0.304782191,0.506274751,0.231339464
0,1,12,200,0.470667574,0.618184569,0.313698853,0.303306533,0.490596731,0.205107995
0,1,13,200,0.467970786,0.622369676,0.316585265,0.303701098,0.493096382,0.225963938
0,2,1,200,0.450588193,0.639430582,0.349254763,0.301162295,0.510836798,0.227231045
0,2,2,200,0.465548912,0.626138572,0.335457198,0.304895468,0.501689469,0.215275326
0,2,3,200,0.485601382,0.661530835,0.34401132,0.325175065,0.52987099,0.2280942
0,2,4,200,0.469768297,0.620577558,0.34662908,0.30790214,0.496132877,0.20817844
0,2,5,200,0.473864071,0.640068984,0.359002615,0.313249159,0.479834017,0.229503988
0,2,6,200,0.478718111,0.629740499,0.338344129,0.326822016,0.466317337,0.20971655
0,2,7,200,0.470139103,0.643538676,0.306387968,0.314725778,0.50626154,0.209521584
0,2,8,200,0.469638591,0.610761758,0.317636621,0.314227255,0.488949033,0.209662142
0,2,9,200,0.461861889,0.629573086,0.356189143,0.313431738,0.485178977,0.200127465
0,2,10,200,0.463900424,0.608052276,0.361873391,0.312773684,0.482911547,0.211873588
0,2,11,200,0.498082378,0.650586499,0.35172902,0.31506489,0.52051276,0.231763883
0,2,12,200,0.477483445,0.627381151,0.325123254,0.318941553,0.502019308,0.204663452
0,2,13,200,0.47268019,0.633512411,0.328023239,0.317246382,0.510926737,0.226767935
0,3,1,200,0.487620085,0.636769,0.36877525,0.297266919,0.489359511,0.246057196
0,3,2,200,0.503268072,0.616791731,0.352519312,0.301196773,0.46851648,0.236525204
0,3,3,200,0.525447794,0.656447201,0.362511484,0.323500013,0.504041398,0.250180738
0,3,4,200,0.508710279,0.610770709,0.3648051,0.305922912,0.46519027,0.229195487
0,3,5,200,0.512111203,0.630987847,0.375875858,0.309896642,0.433199169,0.255344213
0,3,6,200,0.516345733,0.621518041,0.354672041,0.321863103,0.424904315,0.22872648
0,3,7,200,0.50453281,0.634644123,0.322590347,0.308226448,0.475773611,0.230629317
0,3,8,200,0.505894741,0.600370526,0.33401873,0.313127962,0.457522341,0.231746135
0,3,9,200,0.499287513,0.622557643,0.374807342,0.31017991,0.450811253,0.221628722
0,3,10,200,0.498480513,0.597098235,0.381067983,0.306410703,0.453072291,0.232929909
